# Wavelength (A)     Intensity
6408.887930     1351.000000
6414.406930     1385.000000
6419.925930     1363.000000
6425.444930     1314.000000
6430.963930     1259.000000
6436.482930     1230.000000
6442.001930     1166.000000
6447.520930     1152.000000
6453.039930     1123.000000
6458.558930     1119.000000
6464.077930     1073.000000
6469.596930     1058.000000
6475.115930     1018.000000
6480.634930     976.000000
6486.153930     956.000000
6491.672930     972.000000
6497.191930     942.000000
6502.710930     932.000000
6508.229930     909.000000
6513.748930     876.000000
6519.267930     810.000000
6524.786930     788.000000
6530.305930     753.000000
6535.824930     699.000000
6541.343930     638.000000
6546.862930     625.000000
6552.381930     622.000000
6557.900930     612.000000
6563.419930     600.000000
6568.938930     614.000000
6574.457930     633.000000
6579.976930     661.000000
6585.495930     633.000000
6591.014930     637.000000
6596.533930     637.000000
6602.052930     640.000000
6607.571930     628.000000
6613.090930     618.000000
6618.609930     609.000000
6624.128930     589.000000
6629.647930     580.000000
6635.166930     588.000000
6640.685930     578.000000
6646.204930     571.000000
6651.723930     560.000000
6657.242930     573.000000
6662.761930     557.000000
6668.280930     532.000000
6673.799930     541.000000
6679.318930     510.000000
6684.837930     482.000000
6690.356930     485.000000
6695.875930     488.000000
6701.394930     477.000000
6706.913930     454.000000
6712.432930     448.000000
6717.951930     449.000000
6723.470930     435.000000
6728.989930     418.000000
6734.508930     389.000000
6740.027930     373.000000
6745.546930     362.000000
6751.065930     357.000000
6756.584930     345.000000
6762.103930     319.000000
6767.622930     312.000000
6773.141930     309.000000
6778.660930     285.000000
6784.179930     267.000000
6789.698930     264.000000
6795.217930     267.000000
6800.736930     237.000000
6806.255930     211.000000
6811.774930     216.000000
6817.293930     208.000000
6822.812930     193.000000
6828.331930     181.000000
6833.850930     165.000000
6839.369930     147.000000
6844.888930     153.000000
6850.407930     142.000000
6855.926930     130.000000
6861.445930     125.000000
6866.964930     108.000000
6872.483930     100.000000
6878.002930     100.000000
6883.521930     96.000000
6889.040930     101.000000
6894.559930     93.000000
6900.078930     86.000000
6905.597930     92.000000
6911.116930     85.000000
6916.635930     78.000000
6922.154930     83.000000
6927.673930     78.000000
6933.192930     89.000000
6938.711930     85.000000
6944.230930     75.000000
6949.749930     72.000000
6955.268930     71.000000
6960.787930     76.000000
6966.306930     73.000000
6971.825930     84.000000
6977.344930     87.000000
6982.863930     77.000000
6988.382930     77.000000
6993.901930     77.000000
6999.420930     78.000000
7004.939930     76.000000
7010.458930     73.000000
7015.977930     70.000000
7021.496930     71.000000
7027.015930     68.000000
7032.534930     73.000000
7038.053930     69.000000
7043.572930     70.000000
7049.091930     73.000000
7054.610930     67.000000
7060.129930     75.000000
7065.648930     71.000000
7071.167930     70.000000
7076.686930     74.000000
7082.205930     60.000000
7087.724930     62.000000
