Wavelength(A);Intensity_in_channels
3318.391896;0.000000
3323.910896;0.000000
3329.429896;0.000000
3334.948896;0.000000
3340.467896;0.000000
3345.986896;0.000000
3351.505896;0.000000
3357.024896;0.000000
3362.543896;0.000000
3368.062896;0.000000
3373.581896;0.000000
3379.100896;0.000000
3384.619896;0.000000
3390.138896;0.000000
3395.657896;0.000000
3401.176896;0.000000
3406.695896;0.000000
3412.214896;0.000000
3417.733896;0.000000
3423.252896;0.000000
3428.771896;0.000000
3434.290896;0.000000
3439.809896;0.000000
3445.328896;0.000000
3450.847896;0.000000
3456.366896;0.000000
3461.885896;0.000000
3467.404896;0.000000
3472.923896;0.000000
3478.442896;0.000000
3483.961896;0.000000
3489.480896;0.000000
3494.999896;0.000000
3500.518896;0.000000
3506.037896;0.000000
3511.556896;0.000000
3517.075896;0.000000
3522.594896;0.000000
3528.113896;0.000000
3533.632896;0.000000
3539.151896;0.000000
3544.670896;0.000000
3550.189896;0.000000
3555.708896;0.000000
3561.227896;0.000000
3566.746896;0.000000
3572.265896;0.000000
3577.784896;0.000000
3583.303896;0.000000
3588.822896;0.000000
3594.341896;0.000000
3599.860896;0.000000
3605.379896;0.000000
3610.898896;0.000000
3616.417896;0.000000
3621.936896;0.000000
3627.455896;0.000000
3632.974896;0.000000
3638.493896;0.000000
3644.012896;0.000000
3649.531896;0.000000
3655.050896;0.000000
3660.569896;0.000000
3666.088896;0.000000
3671.607896;0.000000
3677.126896;0.000000
3682.645896;0.000000
3688.164896;0.000000
3693.683896;0.000000
3699.202896;0.000000
3704.721896;0.000000
3710.240896;0.000000
3715.759896;0.000000
3721.278896;0.000000
3726.797896;0.000000
3732.316896;0.000000
3737.835896;0.000000
3743.354896;0.000000
3748.873896;0.000000
3754.392896;0.000000
3759.911896;0.000000
3765.430896;0.000000
3770.949896;0.000000
3776.468896;0.000000
3781.987896;0.000000
3787.506896;0.000000
3793.025896;0.000000
3798.544896;0.000000
3804.063896;0.000000
3809.582896;0.000000
3815.101896;0.000000
3820.620896;0.000000
3826.139896;0.000000
3831.658896;0.000000
3837.177896;0.000000
3842.696896;0.000000
3848.215896;0.000000
3853.734896;0.000000
3859.253896;0.000000
3864.772896;0.000000
3870.291896;0.000000
3875.810896;0.000000
3881.329896;0.000000
3886.848896;0.000000
3892.367896;0.000000
3897.886896;0.000000
3903.405896;0.000000
3908.924896;0.000000
3914.443896;0.000000
3919.962896;0.000000
3925.481896;0.000000
3931.000896;0.000000
3936.519896;0.000000
3942.038896;0.000000
3947.557896;0.000000
3953.076896;0.000000
3958.595896;0.000000
3964.114896;0.000000
3969.633896;0.000000
3975.152896;0.000000
3980.671896;0.000000
3986.190896;0.000000
3991.709896;0.000000
3997.228896;0.000000
4002.747896;0.000000
4008.266896;4.000000
4013.785896;4.000000
4019.304896;6.000000
4024.823896;6.000000
4030.342896;6.000000
4035.861896;6.000000
4041.380896;6.000000
4046.899896;7.000000
4052.418896;7.000000
4057.937896;7.000000
4063.456896;7.000000
4068.975896;6.000000
4074.494896;6.000000
4080.013896;6.000000
4085.532896;7.000000
4091.051896;7.000000
4096.570896;6.000000
4102.089896;7.000000
4107.608896;8.000000
4113.127896;8.000000
4118.646896;8.000000
4124.165896;9.000000
4129.684896;10.000000
4135.203896;13.000000
4140.722896;14.000000
4146.241896;16.000000
4151.760896;20.000000
4157.279896;22.000000
4162.798896;29.000000
4168.317896;33.000000
4173.836896;39.000000
4179.355896;45.000000
4184.874896;53.000000
4190.393896;59.000000
4195.912896;69.000000
4201.431896;76.000000
4206.950896;84.000000
4212.469896;95.000000
4217.988896;102.000000
4223.507896;110.000000
4229.026896;118.000000
