px;A;R;G;B
1162;9644,8;0,00289082;0,00301536;0,00993922
1163;9653,6;0,00285393;0,00288242;0,00992003
1164;9662,4;0,00285413;0,00284333;0,00986755
1165;9671,2;0,00275751;0,00273995;0,00960644
1166;9680;0,00263227;0,00262218;0,0095259
1167;9688,8;0,00250558;0,00258344;0,00946686
1168;9697,6;0,00240116;0,00253184;0,00921601
1169;9706,4;0,00226712;0,00242843;0,00887922
1170;9715,2;0,00213257;0,00236581;0,00853096
1171;9724;0,00207042;0,00234771;0,00815252
1172;9732,8;0,00208346;0,00238347;0,00802941
1173;9741,6;0,00225587;0,00259388;0,00849543
1174;9750,4;0,00241916;0,0028285;0,00905658
1175;9759,2;0,00232642;0,00279877;0,00909936
1176;9768;0,00211453;0,00255751;0,00873661
1177;9776,8;0,00192692;0,00244781;0,0083445
1178;9785,6;0,00183512;0,00252856;0,00816185
1179;9794,4;0,00187398;0,00256525;0,00802503
1180;9803,2;0,00188636;0,00249668;0,00786159
1181;9812;0,00192298;0,00251332;0,00800219
1182;9820,8;0,0019075;0,00250173;0,00815901
1183;9829,6;0,00175925;0,00239381;0,00789379
1184;9838,4;0,00170448;0,00246822;0,00766323
1185;9847,2;0,00167107;0,00265348;0,00757981
1186;9856;0,00160871;0,00272253;0,00747118
1187;9864,8;0,00168359;0,00276525;0,0074678
1188;9873,6;0,00175926;0,00274161;0,00744576
1189;9882,4;0,00166769;0,00267076;0,00744393
1190;9891,2;0,00162314;0,00274792;0,00755611
1191;9900;0,00171468;0,00288879;0,00761653
1192;9908,8;0,00175372;0,00292715;0,00744602
1193;9917,6;0,00176497;0,00291527;0,00708197
1194;9926,4;0,00174517;0,00293957;0,00677977
1195;9935,2;0,00172483;0,00307842;0,00674832
1196;9944;0,00177677;0,00337163;0,0069075
1197;9952,8;0,00178317;0,00357665;0,00704058
1198;9961,6;0,00180694;0,00363676;0,00718884
1199;9970,4;0,00190487;0,00368438;0,00745964
1200;9979,2;0,00194362;0,00368911;0,00765353
1201;9988;0,00196693;0,00376136;0,00772311
1202;9996,8;0,00204372;0,00395323;0,00774164
1203;10005,6;0,00197071;0,00401118;0,00755866
1204;10014,4;0,0018981;0,00408743;0,00736453
1205;10023,2;0,00191497;0,00423541;0,00720878
1206;10032;0,00185578;0,00419096;0,00683545
1207;10040,8;0,00184736;0,00406035;0,00644799
1208;10049,6;0,00190557;0,00398775;0,00628318
1209;10058,4;0,00194568;0,00394319;0,00621776
1210;10067,2;0,00196786;0,00388954;0,00617891
1211;10076;0,00200929;0,00396926;0,00621739
1212;10084,8;0,00197722;0,00415363;0,00618414
1213;10093,6;0,00187333;0,00417732;0,00600444
1214;10102,4;0,00193437;0,00423668;0,0059911
1215;10111,2;0,00200761;0,00445842;0,00625226
1216;10120;0,00199662;0,0046078;0,00649902
1217;10128,8;0,00204115;0,00471511;0,00666523
1218;10137,6;0,00207804;0,00478415;0,00680677
1219;10146,4;0,00205926;0,00471738;0,00677015
1220;10155,2;0,00204789;0,00463786;0,00663141
1221;10164;0,00207325;0,0047083;0,00666374
1222;10172,8;0,00198593;0,00474131;0,00659549
1223;10181,6;0,00183171;0,0046345;0,00634805
1224;10190,4;0,00183482;0,00469528;0,0061675
1225;10199,2;0,0019872;0,00496142;0,00611179
1226;10208;0,00210016;0,00509308;0,00602324
1227;10216,8;0,00203365;0,00508645;0,00591989
1228;10225,6;0,00201773;0,0052894;0,00620301
1229;10234,4;0,00202381;0,00547083;0,00655835
1230;10243,2;0,00192016;0,00555531;0,006752
1231;10252;0,00183589;0,00552567;0,006799
1232;10260,8;0,00179294;0,00528896;0,00666109
1233;10269,6;0,00183303;0,00514276;0,00650674
1234;10278,4;0,0018382;0,00503897;0,0062353
1235;10287,2;0,00186618;0,00507649;0,00599972
1236;10296;0,00191907;0,00522224;0,00585031
1237;10304,8;0,00190878;0,0054293;0,00582337
1238;10313,6;0,00191935;0,00574537;0,00598003
1239;10322,4;0,00196284;0,00598782;0,00608552
1240;10331,2;0,00207935;0,00608074;0,00602204
1241;10340;0,00203209;0,00583484;0,00562421
1242;10348,8;0,00181593;0,00539322;0,0051349
1243;10357,6;0,00178246;0,00532201;0,00511247
1244;10366,4;0,0018327;0,00554066;0,00532798
1245;10375,2;0,0017281;0,00556426;0,00524371
1246;10384;0,00163234;0,00556806;0,00499396
1247;10392,8;0,00171339;0,00572317;0,00504678
1248;10401,6;0,00174485;0,00568188;0,0052442
1249;10410,4;0,00168295;0,00544553;0,00530711
1250;10419,2;0,00168975;0,00538883;0,0053141
1251;10428;0,00169481;0,00546434;0,00521748
1252;10436,8;0,00168495;0,0055033;0,00510461
1253;10445,6;0,00170633;0,00549544;0,00495517
1254;10454,4;0,0017196;0,00548367;0,00458201
1255;10463,2;0,00161506;0,00498217;0,0038065
1256;10472;0,00163173;0,0049942;0,00367559
1257;10480,8;0,00166027;0,00504801;0,00373314
1258;10489,6;0,00164354;0,00517955;0,00394779
1259;10498,4;0,00160374;0,00525684;0,00417962
1260;10507,2;0,00159554;0,00530199;0,00438276
1261;10516;0,00156745;0,00516206;0,00440908
1262;10524,8;0,00145746;0,00490671;0,00432413
1263;10533,6;0,00147471;0,00485867;0,00439508
1264;10542,4;0,00159612;0,00498064;0,00452973
1265;10551,2;0,00165955;0,0049744;0,00443848
1266;10560;0,0016151;0,00479497;0,00418576
1267;10568,8;0,00151821;0,00460499;0,00393758
1268;10577,6;0,0015215;0,00463531;0,00372667
1269;10586,4;0,00163214;0,00495207;0,00362853
1270;10595,2;0,00160273;0,00509628;0,00342293
1271;10604;0,00148835;0,00498496;0,00325175
1272;10612,8;0,00151316;0,00499217;0,00331812
1273;10621,6;0,00162428;0,00517765;0,0034796
1274;10630,4;0,00168483;0,00529812;0,00361281
1275;10639,2;0,00168605;0,00529869;0,00359263
1276;10648;0,00156613;0,00519772;0,00345881
1277;10656,8;0,0014482;0,0051452;0,00334904
1278;10665,6;0,00142443;0,00516965;0,00330776
1279;10674,4;0,0014031;0,00506201;0,00318683
1280;10683,2;0,00144083;0,0049677;0,00314065
1281;10692;0,00147573;0,00489799;0,00318773
1282;10700,8;0,00148729;0,00475054;0,00315668
1283;10709,6;0,0014286;0,00455149;0,00292316
1284;10718,4;0,00140312;0,00457676;0,00275601
1285;10727,2;0,00150614;0,00493287;0,00278511
1286;10736;0,00157326;0,00522503;0,00279401
1287;10744,8;0,0015816;0,00524892;0,00268477
1288;10753,6;0,00150317;0,00497611;0,00247116
1289;10762,4;0,0013536;0,00458556;0,00225614
1290;10771,2;0,00131096;0,00442217;0,00216338
1291;10780;0,00138193;0,00455601;0,00227717
1292;10788,8;0,00145089;0,00481106;0,00252457
1293;10797,6;0,00153808;0,0050055;0,00269816
1294;10806,4;0,00160726;0,00508234;0,00272236
1295;10815,2;0,00153691;0,00500296;0,00258866
1296;10824;0,00151348;0,00507318;0,00250575
1297;10832,8;0,00161144;0,00528254;0,00247367
1298;10841,6;0,00169892;0,00541853;0,00235405
1299;10850,4;0,00181081;0,00540234;0,0022552
1300;10859,2;0,00199348;0,00547927;0,00226753
1301;10868;0,00199807;0,00552887;0,00225152
