px;A;R;G;B
180;1003,2;0,000891261;0,000675758;0,000993517
181;1012;0,000875271;0,00071784;0,000974388
182;1020,8;0,000937223;0,00069413;0,000995077
183;1029,6;0,000950806;0,000679706;0,00101606
184;1038,4;0,000928868;0,000720496;0,00101178
185;1047,2;0,000950252;0,000739877;0,000986699
186;1056;0,000961981;0,000775809;0,000975084
187;1064,8;0,000943289;0,000714622;0,000979552
188;1073,6;0,000963063;0,000652356;0,00099914
189;1082,4;0,000941996;0,000651708;0,000985151
190;1091,2;0,000880527;0,000643684;0,00095603
191;1100;0,0008809;0,000665508;0,00097583
192;1108,8;0,000994422;0,000726543;0,00101702
193;1117,6;0,00114469;0,000782962;0,00103722
194;1126,4;0,00119016;0,000777534;0,00103234
195;1135,2;0,00109911;0,000732649;0,00101661
196;1144;0,00101891;0,000757125;0,00105503
197;1152,8;0,000969751;0,00072956;0,00104805
198;1161,6;0,00095326;0,000658078;0,000998011
199;1170,4;0,000974651;0,000687593;0,00103531
200;1179,2;0,000954549;0,00073294;0,00105133
201;1188;0,000941822;0,000750569;0,00101282
202;1196,8;0,000940531;0,00075187;0,00100717
203;1205,6;0,000930769;0,000751101;0,00103988
204;1214,4;0,000946808;0,000743677;0,00103603
205;1223,2;0,000968211;0,000736464;0,00100092
206;1232;0,000948215;0,000734559;0,000962629
207;1240,8;0,000946723;0,000708422;0,000930831
208;1249,6;0,00101538;0,000733938;0,000900257
209;1258,4;0,00099753;0,00074891;0,000867491
210;1267,2;0,000883315;0,00067121;0,000885956
211;1276;0,000848184;0,000653561;0,000962901
212;1284,8;0,000855608;0,00065614;0,000991321
213;1293,6;0,000907084;0,000661152;0,000958199
214;1302,4;0,000978645;0,000674923;0,000911537
215;1311,2;0,000997068;0,000701968;0,000924406
216;1320;0,000955062;0,000747803;0,000945305
217;1328,8;0,000895385;0,000749733;0,000955182
218;1337,6;0,000902656;0,00071728;0,000984982
219;1346,4;0,000947895;0,000712054;0,00102643
220;1355,2;0,000994616;0,000704508;0,00102844
221;1364;0,000966722;0,00063057;0,000973096
222;1372,8;0,000962658;0,00062127;0,000974959
223;1381,6;0,00100819;0,00066442;0,000967975
224;1390,4;0,000968348;0,000683855;0,000927908
225;1399,2;0,000893918;0,000701254;0,000950139
226;1408;0,000910039;0,000719577;0,00101414
227;1416,8;0,000963012;0,000761186;0,00102402
228;1425,6;0,00103272;0,000778323;0,00103559
229;1434,4;0,00112537;0,000790564;0,00106729
230;1443,2;0,00108356;0,000773686;0,00101882
231;1452;0,00102053;0,000792994;0,000978631
232;1460,8;0,00102939;0,000804049;0,000957414
233;1469,6;0,00105749;0,000865375;0,000938857
234;1478,4;0,00104988;0,000872636;0,000999038
235;1487,2;0,00102937;0,000805028;0,00104835
236;1496;0,00104902;0,000773031;0,0011668
237;1504,8;0,00108215;0,000771183;0,00137247
238;1513,6;0,0010428;0,000767735;0,00144359
239;1522,4;0,000985091;0,000791334;0,00133102
240;1531,2;0,000986149;0,00083489;0,00118261
241;1540;0,00103485;0,000887657;0,00100412
242;1548,8;0,00105143;0,000854628;0,000925713
243;1557,6;0,00102892;0,000798767;0,000925211
244;1566,4;0,00104747;0,000771673;0,000945231
245;1575,2;0,00102586;0,000719331;0,000996352
246;1584;0,000963129;0,000712566;0,00107177
247;1592,8;0,000992118;0,000734496;0,00108116
248;1601,6;0,000967546;0,000712217;0,00099269
249;1610,4;0,000916502;0,000756696;0,000950565
250;1619,2;0,000976884;0,000839441;0,0010066
251;1628;0,00106811;0,000850453;0,00102606
252;1636,8;0,00101391;0,000740455;0,000982888
253;1645,6;0,000944621;0,000727662;0,000968946
254;1654,4;0,000916234;0,000767093;0,000993944
255;1663,2;0,000909667;0,000750004;0,00102001
256;1672;0,000904172;0,000689899;0,00101548
257;1680,8;0,000928131;0,000676304;0,00099639
258;1689,6;0,00101513;0,00077709;0,000976104
259;1698,4;0,0010019;0,000732262;0,000938366
260;1707,2;0,000975923;0,000673579;0,000934803
261;1716;0,000979179;0,000747809;0,000983211
262;1724,8;0,00101368;0,000850827;0,00104913
263;1733,6;0,0010647;0,000895873;0,00107441
264;1742,4;0,00111049;0,000909866;0,0010828
265;1751,2;0,00103418;0,000826754;0,0010771
266;1760;0,000983992;0,000764175;0,0010923
267;1768,8;0,00104053;0,000805943;0,00108834
268;1777,6;0,00104047;0,000791908;0,00100284
269;1786,4;0,00100983;0,000776439;0,000934281
270;1795,2;0,000989906;0,000723826;0,000915971
271;1804;0,000968995;0,000728227;0,000958297
272;1812,8;0,000968172;0,000811432;0,00103427
273;1821,6;0,000862954;0,000762256;0,00100382
274;1830,4;0,000847393;0,000729088;0,000933976
275;1839,2;0,000960707;0,000764438;0,000978305
276;1848;0,000982705;0,000730832;0,00100405
277;1856,8;0,000963701;0,000667351;0,000985228
278;1865,6;0,000937406;0,000663981;0,000963583
279;1874,4;0,000976486;0,000746042;0,00100833
280;1883,2;0,000995617;0,000766817;0,00102744
281;1892;0,000988165;0,0007155;0,00100031
282;1900,8;0,000973804;0,000719048;0,000956275
283;1909,6;0,000973773;0,000774658;0,000973736
284;1918,4;0,00098291;0,000771834;0,000994382
285;1927,2;0,000959832;0,000690132;0,00100292
286;1936;0,000935547;0,000716743;0,00100665
287;1944,8;0,000966861;0,000764177;0,00101723
288;1953,6;0,000995582;0,000722331;0,00103698
289;1962,4;0,000959421;0,000712704;0,00104135
290;1971,2;0,000933624;0,000750844;0,00101955
291;1980;0,000920545;0,000765099;0,00101928
292;1988,8;0,000927354;0,000739779;0,00101415
293;1997,6;0,000972376;0,000748242;0,00105048
294;2006,4;0,00100174;0,00075953;0,00108827
295;2015,2;0,0010072;0,000717735;0,0010626
296;2024;0,000972152;0,000654352;0,00104487
297;2032,8;0,000931184;0,000675099;0,0010334
298;2041,6;0,000938165;0,000698692;0,000983105
299;2050,4;0,00093406;0,000703928;0,000997453
300;2059,2;0,000998281;0,000727926;0,00106057
301;2068;0,000988181;0,00076684;0,00104491
302;2076,8;0,000938277;0,000788318;0,000952577
303;2085,6;0,000949515;0,00082492;0,000939811
304;2094,4;0,00100371;0,000788062;0,00100407
305;2103,2;0,00100058;0,000736035;0,00104473
306;2112;0,0010052;0,000719344;0,00106029
307;2120,8;0,00101395;0,000734248;0,00106169
308;2129,6;0,00102804;0,000743087;0,00102846
309;2138,4;0,00100116;0,000746495;0,00100442
310;2147,2;0,000992446;0,000747468;0,000986096
311;2156;0,00104509;0,000729625;0,0010341
312;2164,8;0,00113407;0,000723572;0,00115987
313;2173,6;0,00109818;0,000701227;0,00118638
314;2182,4;0,00102109;0,000683382;0,00111039
315;2191,2;0,000970242;0,000705032;0,00103495
316;2200;0,000916816;0,000768091;0,0010467
317;2208,8;0,000971548;0,000886323;0,0011265
318;2217,6;0,00107712;0,000915203;0,00117537
319;2226,4;0,00106779;0,000801529;0,00114605
320;2235,2;0,00104732;0,000755234;0,00107847
321;2244;0,00102269;0,000817647;0,0010445
322;2252,8;0,000969265;0,000858454;0,00104177
323;2261,6;0,00101626;0,00085904;0,0011183
324;2270,4;0,00111403;0,000832704;0,00117189
325;2279,2;0,00107244;0,000769495;0,00113313
326;2288;0,00104455;0,000873589;0,00109601
327;2296,8;0,00100861;0,000833742;0,00105876
328;2305,6;0,000909055;0,000678892;0,000908049
329;2314,4;0,000967811;0,00071727;0,000884708
330;2323,2;0,00106218;0,000849506;0,000951128
331;2332;0,00108317;0,000890253;0,000989287
332;2340,8;0,00102571;0,000803889;0,00095915
333;2349,6;0,000976563;0,000699318;0,000936749
334;2358,4;0,000950819;0,000739503;0,000996857
335;2367,2;0,000960192;0,000787283;0,00106212
336;2376;0,00100395;0,000822985;0,00103626
337;2384,8;0,00099101;0,000833885;0,0009722
338;2393,6;0,000981409;0,000812311;0,000963701
339;2402,4;0,000981632;0,000772227;0,000980354
340;2411,2;0,00101209;0,00074135;0,0010468
341;2420;0,00105025;0,000796374;0,0011401
342;2428,8;0,00102089;0,000813968;0,00114379
343;2437,6;0,00100923;0,000772094;0,00108147
344;2446,4;0,001026;0,000792055;0,00104052
345;2455,2;0,00103474;0,000837017;0,00107394
346;2464;0,00108557;0,000845239;0,00109848
347;2472,8;0,00113837;0,000798076;0,0010742
348;2481,6;0,0011388;0,000780356;0,00108997
349;2490,4;0,00111473;0,000837357;0,00112967
350;2499,2;0,00106238;0,000893592;0,00115421
351;2508;0,000999661;0,00092142;0,00114457
352;2516,8;0,000970921;0,000850005;0,00108677
353;2525,6;0,000961169;0,000770476;0,000996088
354;2534,4;0,00106128;0,000774262;0,00100682
355;2543,2;0,00108196;0,000783552;0,00106121
356;2552;0,00100796;0,000769388;0,00107879
357;2560,8;0,000956766;0,000719409;0,00109927
358;2569,6;0,000951422;0,000675821;0,00112245
359;2578,4;0,00103802;0,00074669;0,00115419
360;2587,2;0,00108479;0,000770404;0,00113451
361;2596;0,00103753;0,000763475;0,00105023
362;2604,8;0,00102329;0,000778584;0,00106386
363;2613,6;0,000999356;0,000760208;0,00108241
364;2622,4;0,001021;0,000747715;0,00106878
365;2631,2;0,00110596;0,000785256;0,00107255
366;2640;0,00110048;0,000819178;0,00109892
367;2648,8;0,000997176;0,000782568;0,00110698
368;2657,6;0,000930374;0,000765812;0,00108946
369;2666,4;0,000944859;0,000752527;0,00108463
370;2675,2;0,00102166;0,000765399;0,00112967
371;2684;0,00101988;0,000751638;0,00115781
372;2692,8;0,00103439;0,00080178;0,00116793
373;2701,6;0,00102659;0,000826365;0,00116996
374;2710,4;0,000951605;0,000796212;0,00110958
375;2719,2;0,000963685;0,000760333;0,00102896
376;2728;0,000991571;0,000779441;0,000982338
377;2736,8;0,000966216;0,000803887;0,000964534
378;2745,6;0,000960614;0,000824329;0,00101594
379;2754,4;0,000979302;0,000816106;0,00106617
380;2763,2;0,00105025;0,000827523;0,00111777
381;2772;0,00109596;0,000776498;0,00109964
382;2780,8;0,00105418;0,000698987;0,00101749
383;2789,6;0,00100471;0,000763552;0,000984048
384;2798,4;0,000998073;0,000794727;0,000958076
385;2807,2;0,00100258;0,000748203;0,000948803
386;2816;0,000965063;0,000725137;0,000932678
387;2824,8;0,00103649;0,000814641;0,001024
388;2833,6;0,00109055;0,000854906;0,00110428
389;2842,4;0,00105486;0,000806611;0,00109928
390;2851,2;0,00106721;0,000785323;0,0010935
391;2860;0,0010727;0,000799512;0,00112547
392;2868,8;0,00102648;0,000734405;0,00110918
393;2877,6;0,00101919;0,00068464;0,0010397
394;2886,4;0,00107765;0,000739444;0,00104564
395;2895,2;0,00108982;0,000789838;0,00109311
396;2904;0,00103147;0,000772953;0,00106479
397;2912,8;0,000964373;0,00077241;0,00101932
398;2921,6;0,000935368;0,000682387;0,000994119
399;2930,4;0,000965661;0,000709141;0,00101911
400;2939,2;0,00101219;0,000752067;0,00103721
401;2948;0,00103248;0,000787345;0,00105249
402;2956,8;0,00102314;0,000826564;0,00105789
403;2965,6;0,000987051;0,000799639;0,00102991
404;2974,4;0,000959566;0,000749784;0,000969105
405;2983,2;0,000936616;0,000717865;0,000896967
406;2992;0,000911822;0,00071299;0,000854592
407;3000,8;0,00096351;0,000791322;0,000926059
408;3009,6;0,00100145;0,0008034;0,00103119
409;3018,4;0,00104088;0,00080727;0,0011109
410;3027,2;0,00106053;0,000862684;0,00106808
411;3036;0,00106505;0,000850809;0,00102652
412;3044,8;0,00104777;0,000752954;0,00101556
413;3053,6;0,00104087;0,000704231;0,0010367
414;3062,4;0,000989389;0,00067287;0,00106934
415;3071,2;0,000958265;0,000743531;0,00106638
416;3080;0,00103632;0,000841471;0,00105458
417;3088,8;0,00111952;0,000898973;0,0010579
418;3097,6;0,00104632;0,000842256;0,00101937
419;3106,4;0,000902819;0,000780232;0,00100155
420;3115,2;0,000935709;0,000782415;0,000991129
421;3124;0,00100229;0,00079127;0,000989625
422;3132,8;0,0010582;0,00079436;0,00101834
423;3141,6;0,00103912;0,000803058;0,00109038
424;3150,4;0,000980811;0,000788723;0,00115061
425;3159,2;0,00101787;0,000859663;0,00123413
426;3168;0,00102454;0,000832094;0,00123883
427;3176,8;0,00101862;0,000794927;0,00124693
428;3185,6;0,00103278;0,000848036;0,00128887
429;3194,4;0,0010166;0,000862643;0,00126977
430;3203,2;0,000950463;0,000800161;0,00114551
431;3212;0,00100294;0,00074296;0,00105592
432;3220,8;0,00112088;0,000785625;0,00109005
433;3229,6;0,00108114;0,000776185;0,0011473
434;3238,4;0,000988765;0,000730861;0,00111641
435;3247,2;0,000938933;0,000789797;0,0010656
436;3256;0,000947669;0,000813274;0,00100666
437;3264,8;0,0010224;0,000789138;0,0010357
438;3273,6;0,00106038;0,000783895;0,00114692
439;3282,4;0,00107557;0,000855096;0,00124986
440;3291,2;0,00109954;0,000882722;0,00125327
441;3300;0,00104631;0,000867596;0,00116598
442;3308,8;0,000994602;0,000790218;0,00109964
443;3317,6;0,00104411;0,000805385;0,00113047
444;3326,4;0,00107663;0,000830424;0,0011355
445;3335,2;0,00104934;0,000843332;0,00107804
446;3344;0,000992844;0,000779747;0,00101868
447;3352,8;0,00100242;0,00083457;0,00102699
448;3361,6;0,000995452;0,000808956;0,00103181
449;3370,4;0,000994003;0,000772155;0,00103352
450;3379,2;0,00103904;0,000766263;0,00107714
451;3388;0,00105053;0,000781386;0,00108891
452;3396,8;0,00103072;0,000772921;0,00104774
453;3405,6;0,00101085;0,000731871;0,00100912
454;3414,4;0,000982664;0,000731132;0,00104235
455;3423,2;0,00103001;0,00082952;0,00112099
456;3432;0,00107329;0,000885484;0,00115697
457;3440,8;0,00104724;0,000816238;0,00107009
458;3449,6;0,00103308;0,000796221;0,00102815
459;3458,4;0,000967426;0,000788349;0,000997297
460;3467,2;0,000975281;0,000773287;0,000990499
461;3476;0,00104227;0,000747132;0,00102986
462;3484,8;0,00106358;0,000767569;0,00110211
463;3493,6;0,00109864;0,000873974;0,00113441
464;3502,4;0,00109503;0,000871009;0,00112945
465;3511,2;0,00106829;0,000786179;0,0011131
466;3520;0,00110643;0,000801777;0,00110248
467;3528,8;0,0011272;0,000846853;0,0011179
468;3537,6;0,0011334;0,000869956;0,00111631
469;3546,4;0,00114588;0,000901029;0,00119059
470;3555,2;0,00115903;0,000931864;0,00126407
471;3564;0,00112368;0,000883677;0,00114302
472;3572,8;0,00108461;0,000793455;0,00100956
473;3581,6;0,00109089;0,000774614;0,000999659
474;3590,4;0,00115265;0,000868183;0,00103873
475;3599,2;0,00118463;0,000900137;0,00105427
476;3608;0,0011874;0,000945454;0,00105686
477;3616,8;0,00120632;0,00102661;0,00110773
478;3625,6;0,00125294;0,00107529;0,0011586
479;3634,4;0,00128511;0,0010669;0,00122272
480;3643,2;0,00127732;0,000958643;0,00119656
481;3652;0,00127977;0,000951363;0,00117338
482;3660,8;0,00125254;0,000999815;0,00116488
483;3669,6;0,00119672;0,00102949;0,00117257
484;3678,4;0,00123387;0,00114087;0,00122116
485;3687,2;0,00131449;0,00122231;0,00130906
486;3696;0,0014564;0,00122041;0,00138974
487;3704,8;0,00154981;0,00120353;0,00135731
488;3713,6;0,00160066;0,00120617;0,00131864
489;3722,4;0,00162629;0,0012184;0,0012926
490;3731,2;0,00170941;0,00123855;0,00123414
491;3740;0,00182413;0,00129799;0,0012581
492;3748,8;0,0019163;0,00140241;0,00131871
493;3757,6;0,00195015;0,00155303;0,00138398
494;3766,4;0,00198788;0,00165356;0,00139437
495;3775,2;0,00206182;0,00172957;0,00145578
496;3784;0,00226594;0,00180569;0,00160611
497;3792,8;0,00237995;0,00182783;0,00171283
498;3801,6;0,00255895;0,00195366;0,00182344
499;3810,4;0,0028136;0,00219923;0,00195932
500;3819,2;0,00300983;0,00245135;0,00204252
501;3828;0,00321778;0,00273551;0,00223039
502;3836,8;0,00341814;0,00291203;0,00247783
503;3845,6;0,00377161;0,00316648;0,00298062
504;3854,4;0,00402923;0,00341637;0,00361584
505;3863,2;0,00433207;0,00359202;0,00430321
506;3872;0,00501806;0,00409535;0,00536039
507;3880,8;0,00589281;0,00479369;0,00657196
508;3889,6;0,00669611;0,00533189;0,00772962
509;3898,4;0,00757787;0,00589853;0,00918404
510;3907,2;0,00840886;0,00662937;0,0112361
511;3916;0,00917956;0,00734235;0,0137374
512;3924,8;0,0108312;0,00904693;0,0175372
513;3933,6;0,0119443;0,0100574;0,0211728
514;3942,4;0,0131019;0,0109548;0,0252063
515;3951,2;0,0141553;0,0117126;0,0294792
516;3960;0,0152687;0,0124716;0,0341956
517;3968,8;0,0167404;0,0136027;0,0397356
518;3977,6;0,0185707;0,0154374;0,0466881
519;3986,4;0,0203615;0,0172927;0,0543308
520;3995,2;0,0214509;0,0184822;0,0610287
521;4004;0,0214982;0,0186221;0,0662703
522;4012,8;0,021436;0,0187438;0,0714638
523;4021,6;0,0220129;0,0194317;0,0782928
524;4030,4;0,0231133;0,0207629;0,087786
525;4039,2;0,025117;0,0230309;0,100279
526;4048;0,0268813;0,0250813;0,113326
527;4056,8;0,0278287;0,026228;0,124714
528;4065,6;0,0278594;0,0263493;0,133641
529;4074,4;0,0274971;0,0260546;0,139989
530;4083,2;0,0266494;0,0253278;0,143861
531;4092;0,0259512;0,0246902;0,146884
532;4100,8;0,0248928;0,0240599;0,151852
533;4109,6;0,0251285;0,0246464;0,162267
534;4118,4;0,0265052;0,0263077;0,179103
535;4127,2;0,0292787;0,0293589;0,202598
536;4136;0,0321061;0,0323887;0,229453
537;4144,8;0,0340624;0,0341417;0,25548
538;4153,6;0,0349648;0,0348338;0,277337
539;4162,4;0,0349243;0,0342067;0,293496
540;4171,2;0,0351656;0,0342382;0,306311
541;4180;0,0350332;0,0339456;0,315582
542;4188,8;0,0345128;0,0336678;0,321487
543;4197,6;0,0331994;0,0328461;0,322833
544;4206,4;0,0318651;0,032007;0,319502
545;4215,2;0,0292104;0,0300134;0,311561
546;4224;0,0270326;0,0280951;0,301866
547;4232,8;0,0246823;0,0258045;0,291619
548;4241,6;0,0230833;0,0242738;0,289339
549;4250,4;0,022829;0,0242391;0,297104
550;4259,2;0,0246222;0,0264859;0,316761
551;4268;0,0269994;0,0295204;0,3455
552;4276,8;0,0296225;0,0329656;0,380151
553;4285,6;0,0302046;0,0339918;0,410697
554;4294,4;0,03092;0,0354723;0,436705
555;4303,2;0,0297502;0,0347413;0,452853
556;4312;0,0297807;0,0345605;0,467154
557;4320,8;0,0295425;0,0342462;0,478984
558;4329,6;0,0294899;0,0342923;0,490692
559;4338,4;0,029149;0,0339631;0,500256
560;4347,2;0,029603;0,0343868;0,511662
561;4356;0,0282667;0,0328446;0,522306
562;4364,8;0,0284456;0,0329143;0,533783
563;4373,6;0,0275568;0,0319891;0,541993
564;4382,4;0,0274281;0,0316216;0,548996
565;4391,2;0,0264614;0,0304271;0,553263
566;4400;0,0255762;0,0294171;0,558556
567;4408,8;0,025049;0,0287143;0,564006
568;4417,6;0,0250471;0,0283845;0,568356
569;4426,4;0,0245426;0,0279745;0,569469
570;4435,2;0,0239078;0,027126;0,566704
571;4444;0,0233597;0,0266642;0,559733
572;4452,8;0,0225573;0,0262165;0,547313
573;4461,6;0,0218658;0,025971;0,529609
574;4470,4;0,0201675;0,0247348;0,508166
575;4479,2;0,0188769;0,024049;0,488143
