# Wavelength (A)     Intensity in channel 1     Intensity in channel 2     Intensity in channel 3
505.958775     128.718000     86.435900     91.564100
511.477775     132.333000     88.846200     90.000000
516.996775     135.026000     91.205100     90.384600
522.515775     136.513000     93.564100     94.179500
528.034775     132.179000     91.641000     95.230800
533.553775     128.923000     88.256400     91.000000
539.072775     128.359000     88.333300     88.589700
544.591775     131.179000     89.974400     89.205100
550.110775     132.308000     90.435900     88.153800
555.629775     130.923000     90.717900     89.871800
561.148775     127.128000     90.307700     89.871800
566.667775     125.718000     89.641000     88.743600
572.186775     124.949000     91.410300     87.461500
577.705775     124.538000     92.564100     86.205100
583.224775     122.103000     90.128200     86.538500
588.743775     121.333000     87.948700     86.359000
594.262775     119.308000     85.359000     86.051300
599.781775     121.077000     83.615400     87.153800
605.300775     125.436000     86.794900     89.461500
610.819775     126.769000     87.871800     89.564100
616.338775     125.692000     86.538500     89.769200
621.857775     126.282000     87.743600     90.025600
627.376775     126.667000     88.230800     89.461500
632.895775     124.590000     87.076900     86.564100
638.414775     123.026000     85.871800     84.256400
643.933775     128.077000     86.179500     84.076900
649.452775     133.974000     87.076900     85.230800
654.971775     133.615000     86.410300     86.974400
660.490775     130.154000     87.512800     88.641000
666.009775     130.538000     89.487200     90.769200
671.528775     129.949000     88.769200     88.717900
677.047775     131.026000     90.461500     89.153800
682.566775     131.436000     90.589700     91.743600
688.085775     131.179000     88.538500     91.948700
693.604775     129.410000     86.871800     91.179500
699.123775     130.667000     89.179500     91.179500
704.642775     126.821000     89.307700     90.000000
710.161775     124.051000     86.461500     88.025600
715.680775     128.590000     89.025600     90.589700
721.199775     128.769000     89.820500     90.871800
726.718775     127.231000     90.410300     89.512800
732.237775     126.000000     91.743600     87.794900
737.756775     127.590000     91.846200     86.871800
743.275775     130.718000     91.948700     89.948700
748.794775     128.359000     88.743600     92.564100
754.313775     127.538000     88.743600     95.615400
759.832775     127.231000     89.538500     95.307700
765.351775     128.308000     89.435900     91.384600
770.870775     125.897000     87.820500     87.717900
776.389775     127.436000     88.794900     89.282100
781.908775     129.282000     90.282100     93.051300
787.427775     130.385000     90.512800     94.487200
792.946775     126.872000     87.538500     92.051300
798.465775     125.077000     87.948700     91.461500
803.984775     122.308000     88.205100     89.435900
809.503775     118.487000     86.128200     87.564100
