# Wavelength (A)     Intensity in channels
553.370740     0.000000
558.889740     0.000000
564.408740     0.000000
569.927740     0.000000
575.446740     0.000000
580.965740     0.000000
586.484740     0.000000
592.003740     0.000000
597.522740     0.000000
603.041740     0.000000
608.560740     0.000000
614.079740     0.000000
619.598740     0.000000
625.117740     0.000000
630.636740     0.000000
636.155740     0.000000
641.674740     0.000000
647.193740     0.000000
652.712740     0.000000
658.231740     0.000000
663.750740     0.000000
669.269740     0.000000
674.788740     0.000000
680.307740     0.000000
685.826740     0.000000
691.345740     0.000000
696.864740     0.000000
702.383740     0.000000
707.902740     0.000000
713.421740     0.000000
718.940740     0.000000
724.459740     0.000000
729.978740     0.000000
735.497740     0.000000
741.016740     0.000000
746.535740     0.000000
752.054740     0.000000
757.573740     0.000000
763.092740     0.000000
768.611740     0.000000
774.130740     0.000000
779.649740     0.000000
785.168740     0.000000
790.687740     0.000000
796.206740     0.000000
801.725740     0.000000
807.244740     0.000000
812.763740     0.000000
818.282740     0.000000
823.801740     0.000000
829.320740     0.000000
834.839740     0.000000
840.358740     0.000000
845.877740     0.000000
851.396740     0.000000
856.915740     0.000000
862.434740     0.000000
867.953740     0.000000
873.472740     0.000000
878.991740     0.000000
884.510740     0.000000
890.029740     0.000000
895.548740     0.000000
901.067740     0.000000
906.586740     0.000000
912.105740     0.000000
917.624740     0.000000
923.143740     0.000000
928.662740     0.000000
934.181740     0.000000
939.700740     0.000000
945.219740     0.000000
950.738740     0.000000
956.257740     0.000000
961.776740     0.000000
967.295740     0.000000
972.814740     0.000000
978.333740     0.000000
983.852740     0.000000
989.371740     0.000000
994.890740     0.000000
1000.409740     0.000000
1005.928740     0.000000
1011.447740     0.000000
1016.966740     0.000000
1022.485740     0.000000
1028.004740     0.000000
1033.523740     0.000000
1039.042740     0.000000
1044.561740     0.000000
1050.080740     0.000000
1055.599740     0.000000
1061.118740     0.000000
1066.637740     0.000000
1072.156740     0.000000
1077.675740     0.000000
1083.194740     0.000000
1088.713740     0.000000
1094.232740     0.000000
1099.751740     0.000000
1105.270740     0.000000
1110.789740     0.000000
1116.308740     0.000000
1121.827740     0.000000
1127.346740     0.000000
1132.865740     0.000000
1138.384740     0.000000
1143.903740     0.000000
1149.422740     0.000000
1154.941740     0.000000
1160.460740     0.000000
1165.979740     0.000000
