220, 122.923, 87.3846, 87.9231
221, 128.282, 88.3846, 88.0769
222, 130.821, 85.3846, 86.8974
223, 136.333, 89.359, 89.4615
224, 134.846, 89.9231, 89.9487
225, 132.744, 89.4103, 89.7436
226, 129.436, 88.8462, 89.3846
227, 124.923, 87.3333, 87.4615
228, 122.487, 86.8205, 87.5385
229, 126.59, 88.9231, 88.6667
230, 129.462, 89.0769, 87.2308
231, 130.179, 88.8462, 87.0513
232, 128.513, 89.9487, 87.1538
233, 128.564, 90.0513, 88.5897
234, 128.59, 88.7692, 88.3333
235, 130.077, 89.1538, 88.1026
236, 130.359, 89.1026, 86.641
237, 132.385, 89.4615, 89.0513
238, 131.59, 88.9487, 89.2821
239, 132.487, 90.2821, 91.1538
240, 127.795, 87.0513, 91.1026
241, 121.615, 84.4359, 89.3846
242, 118.231, 85.9231, 89.2564
243, 120.359, 89.1795, 92.0769
244, 121.769, 89.4872, 94.5641
245, 123.667, 90.8718, 94.359
246, 125.359, 92.2821, 92.0513
247, 123.359, 88.6154, 86.0769
248, 127.179, 90.7949, 87.9487
249, 132.744, 93.8205, 93.0256
250, 128.59, 90.3333, 93
251, 124.872, 86.5641, 89.2308
252, 125.513, 87, 88.1282
253, 129.821, 89.4103, 90.5641
254, 128.667, 89.4359, 92.7692
255, 127.487, 88.9487, 93.1538
256, 127.744, 89.6923, 93.9744
257, 125.949, 88.3846, 90.9744
258, 123.538, 84.9231, 88.4103
259, 122.564, 84.8718, 88.4359
260, 124.949, 86.4103, 87.8718
261, 131.231, 90.2821, 89.5897
262, 132.205, 90.3333, 87.5641
263, 133.333, 90.0256, 84.7949
264, 131.051, 89.1538, 85.6923
265, 129.769, 86.0256, 83.3077
266, 127.615, 83.5385, 81.9744
267, 128.692, 84.6154, 85.0256
268, 128.179, 86.1795, 87.641
269, 123.282, 85.4103, 87
270, 122.513, 86.0256, 87.1795
271, 124.846, 87.8462, 86.7949
272, 125.436, 87.641, 82.8462
273, 129.051, 87.5128, 81.3333
274, 129.333, 88.6667, 80.9744
275, 125.769, 86.0513, 80.7949
276, 124.462, 86.1282, 83.8974
277, 124.795, 88.6154, 86
278, 124.231, 89.4359, 85.5385
279, 126.718, 89.1026, 84.3846
280, 131.051, 88.8462, 85.359
281, 132.667, 89.8718, 86.8974
282, 127.487, 87.1795, 85.1026
283, 125.103, 85.7179, 84.641
284, 129.128, 86.7436, 87.2051
285, 133.692, 90.2564, 89.0513
286, 132.795, 90.2308, 88.8205
287, 129.154, 88.4615, 87.5897
288, 127.385, 88.5641, 88.3077
289, 124.974, 86.3846, 85.359
290, 127, 86.8718, 85.8205
291, 131.205, 89.1795, 89.2051
292, 131.051, 88.6154, 87.8462
293, 129.564, 88.4615, 86.4872
294, 131.487, 88.0256, 85.8205
295, 132.308, 87.1795, 85.2564
296, 130.974, 86.359, 85.5641
